"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"颖***桑",,"star5","很好","2018-12-25 22:10","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:44:47.0717912"
"x***h",,"star5","不错","2018-12-23 20:58","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.3787684"
"枫***民",,"star5","不错","2018-12-21 11:13","0","0","[购买53天后追评]","好","https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.4190479"
"j***k",,"star5","不错","2018-12-20 11:13","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.4512106"
"j***5",,"star5","很好","2018-12-19 03:18","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.4986737"
"几***1",,"star5","正品","2018-12-17 15:26","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.5312328"
"岛***5",,"star1","京东真垃圾，拍错要退货不肯，说拆开包装不能退，不拆开包装也不知道自己拍错啊","2018-11-14 13:44","1","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.5686390"
"w***8","PLUS会员","star1","太差劲了，还没打开包装，换个颜色都不给换，服务极差。","2018-12-17 16:42","0","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.6288496"
"a***1","PLUS会员","star1","使用了一段时间，有点卡……双十一又来大降价坑","2018-12-08 17:35","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.6687118"
"晓***一",,"star1","什么嘛， 买了没多久  直接暴跌六七百","2018-12-12 01:02","0","3",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.7308891"
"j***l",,"star1","非常糟糕?什么赠品都没有、@人","2018-12-13 12:21","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:02.7714522"
"j***y",,"star1","不怎么样！色泽好暗","2018-12-13 13:41","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.0788352"
"o***k",,"star1","后悔买了苹果","2018-12-25 14:51","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.1121116"
"村***少","PLUS会员","star5","可以","2018-12-27 10:06","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.1439098"
"T***x","PLUS会员","star5","实惠","2018-12-26 13:28","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.1721525"
"d***c","PLUS会员","star5","不错","2018-12-18 15:59","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.2102138"
"s***u","PLUS会员","star5","不错","2018-12-17 09:51","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.2317756"
"j***d",,"star1","的确有点卡","2018-12-06 20:37","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.2618040"
"吴***渠","PLUS会员","star5","好","2018-12-26 17:30","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.2919969"
"懂***名",,"star5","好","2018-12-26 14:44","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.3185653"
"你***儿","PLUS会员","star5","好","2018-12-16 11:34","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:18.3420235"
"jdjasen1hvr","PLUS会员","star1","差评，机子到手用了两个小时左右，只是编辑些文档而已，机子噪音特别大，我自己用了5年的旧本子也没这么大的噪音，同事听了苹果air的声音表示不敢恭维","2018-12-08 19:21","1","4",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.6518074"
"j***8",,"star5","好","2018-12-20 15:22","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.6819323"
"L***y",,"star3","可以说非常生气了，快递员无法沟通，迟迟不配送，并表示你的快递就在外面随便堆着，听着就担心；找客服，必须时刻盯着，不然过两分钟就会取消人工客服，再找就换新的客服，并且上来就问有什么可以帮您，不看之前的聊天记录，导致你的问题不断不断的重复。我能理解双十一都很忙，但是京东既然敢做这么大的流量，好歹把后续的服务跟上吧，差评????","2018-11-24 14:39","1","2",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.7112038"
"y***9",,"star1","差评。买苹果电脑就是为了不想遇到WINDOWS电脑的频繁卡死宕机。但是这个MACBOOKAIR2017也很是醉了。难道陈货不好使？第一次开机，输入CLOUDID等之后，进入桌面以后！！！一个应用都没有打开过，鼠标就一直~。完了几黑屏。现在也启动不了。这个MBA姐就开机@登陆只啥都没玩过。就黑屏宕机了。真是好。不知道别人的#是怎么装的。TMD的烂苹果。","2018-12-07 09:54","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.7385585"
"j***4",,"star2","不知是网银。差评","2018-12-07 20:02","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.7615300"
"z***8",,"star1","差评，电脑老是卡屏，而且经常反应不灵","2018-12-23 17:45","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.7917771"
"j***3",,"star1","服务态度不好?差评","2018-12-07 20:58","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.8219678"
"王***读","PLUS会员","star5","终于到手了，期待很久的，配合我的苹果手机非常方便快捷，工作非常顺畅","2018-12-12 22:50","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.8517424"
"j***7",,"star1","客服态度太差，问一些问题不好好解答。一直用苹果的产品，这次购物体验太差了。下次不会选择这这里购买了。。","2018-12-12 22:32","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.8785033"
"b***3","PLUS会员","star5","物流真的是快，很漂亮，我就平时办公用用，不太要求性能，挺好","2018-12-12 22:27","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:33.9115735"
"f***X","PLUS会员","star5","京东发货速度真的没法说，非常非常快，电脑玩着也很不错，目前还没完熟练，需要自己摸索摸索","2018-12-12 21:39","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.1844258"
"j***5",,"star5","不错，很好，物流快，值得购买","2018-12-12 21:33","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.2219431"
"t***5","PLUS会员","star5","还可以，能接受","2018-12-12 20:52","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.2806996"
"9***y","PLUS会员","star5","薄，就是系统不会用。装了Windows系统就好些了。","2018-12-12 20:40","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.3309400"
"云之湄",,"star4","速度快，麻烦多送点京豆啊，这么高额","2018-12-12 20:36","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.3624026"
"j***s",,"star5","此用户未填写评价内容","2018-12-12 20:34","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.4028982"
"柳***堡","PLUS会员","star5","此用户未填写评价内容","2018-12-12 19:22","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.4317248"
"j***l",,"star5","第一次开机操作不了 强制关机再开就正常了","2018-12-12 18:58","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.4723195"
"j***c",,"star5","看着很不错，第一次用。IOS系统，不知道以后会不会卡顿，","2018-12-12 18:37","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.5108141"
"D***5",,"star3","刚开机就卡了，还自动给我重启了","2018-12-12 18:25","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:45:49.5487994"
"A***孩",,"star5","除了包装破损以外，别的都还不错  系统挺流畅的","2018-12-12 17:56","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:04.8221278"
"阳***我","PLUS会员","star5","非常好，相信京东的品质保证质量，物流给力，好评","2018-12-12 17:53","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:04.8486438"
"4***7","PLUS会员[试用]","star4","刚收到货，发货很快，产品怎么样后续补充","2018-12-12 17:46","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:04.8785442"
"亲***二","PLUS会员","star5","公司搞活动购买的，京东物流就是快，正版原装，质量没有问题，优惠力度也大","2018-12-12 16:50","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:04.9116615"
"j***o",,"star5","速度很快！电脑很漂亮！赞?","2018-12-12 15:22","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:04.9489944"
"小***3","PLUS会员","star5","虽然很贵，但办公需要系统稳定和长续航，这台机子运行速度待机时间稳定性都很棒，所以挺满意的","2018-12-12 15:22","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:04.9819646"
"无***枫","PLUS会员","star5","收到包装完好,东西拆开也挺好,正在试用中!","2018-12-12 14:59","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:05.0186992"
"丁***3",,"star5","很漂亮的电脑，活动价格也便宜，推荐，推荐。","2018-12-12 14:58","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:05.0521863"
"w***1","PLUS会员","star5","宝贝非常好，非常满意，一直信赖京东","2018-12-12 14:56","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:05.0955912"
"1***p",,"star5","包装精美 品质很不错 上网速度流畅 用起来感觉很舒服 只是Siri最近常死机 需要重新开机才能恢复","2018-12-12 14:48","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:05.1797547"
"A***H","PLUS会员","star5","??Apple MacBook Air 13.3英寸笔记本电脑 金色 使用了一段时间还可以，运行流畅，音响效果不错！就说很多软件受限制","2018-12-12 14:36","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.4193413"
"s***9",,"star5","新版本上市，看到价格那一刻，就只能买老版本了，做工还是一如既往的好，无可挑剔","2018-12-12 14:27","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.4488568"
"w***9",,"star4","不错、不错","2018-12-12 14:13","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.4687528"
"j***u","PLUS会员","star5","单位领导用的，大品牌，运行速度快，搞活动价格也实惠，送货快","2018-12-12 14:00","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.5116484"
"j***j",,"star5","挺不错的","2018-12-12 13:57","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.5389052"
"j***a",,"star5","第一次入手Mac，比想象中的好。序列号也是去官网查过了，全新。","2018-12-12 13:15","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.5686759"
"j***c",,"star5","很漂亮的笔记本，又轻又薄。好评。","2018-12-12 12:55","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.5885092"
"d***2","PLUS会员","star5","电脑是正品，很漂亮好不好用令说。京东服务真是赞，因年底报销急，晚上下单，选次日上午精准达,感谢快递大哥顶风冒雨及时送来货物。后因发票问题又再次联系客服，帮忙加急处理，最终圆满解决问题。赞客服的服务态度赞快递小哥的速度哈，会继续选择京东值得信赖！","2018-12-12 12:52","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.6195319"
"切***卜","PLUS会员","star5","给办公室的程序猿使用的，他们可以用专门的操作系统。轻便快捷。好评","2018-12-12 12:50","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.6485798"
"U***r",,"star4","还没去装系统。不过刚买完就又将价咯。我去","2018-12-12 12:45","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:20.6785972"
"切***卜","PLUS会员","star5","办公室专用电脑，程序猿用起来轻便快捷","2018-12-12 12:41","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:35.9727855"
"熹***洋","PLUS会员","star5","刚刚收到机子，还没有开始使用，应该是原装机。京东值得信赖。","2018-12-12 12:40","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.0597943"
"j***8",,"star5","货已收到，很满意。。","2018-12-12 12:33","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.0977610"
"雪***春",,"star5","总体感觉还可以吧，就是第一次用不管。相信有个适应过程。装了双系统","2018-12-12 12:20","0","3",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.1359663"
"s***2",,"star5","货已收到，很喜欢好评。","2018-12-12 11:55","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.1721178"
"j***t",,"star5","苹果的设备还是一如既往地好，系统流畅，电池续航时间够长，多媒体也不错！","2018-12-12 11:54","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.2430729"
"j***1","PLUS会员","star5","摸着手感不错，侧边没有显示器插口高清插口之类的，只有两个U口，操作系统和原来的不大一样，切换输入法就研究了半天，还在适应中，买来准备办公用的，期待它的表现","2018-12-12 11:50","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.3037582"
"j***蛋","PLUS会员[试用]","star1","早买了2天。多花了100块。~只要5888还送电脑袋。京东不行啊。","2018-12-12 11:28","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.3625591"
"一***灬","PLUS会员","star5","东西很好，苹果产品办公就是好用，反应迅速，非常流畅，下次继续买，买少了这次","2018-12-12 11:05","0","1",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.3948475"
"一***杆",,"star5","苹果的机器玩得就是科技！","2018-12-12 11:04","1","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:36.4314871"
"j***e","PLUS会员","star5","超级好，买来做图用ps颜色很正。","2018-12-12 10:46","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:51.7414011"
"j***t",,"star5","挺好 好用","2018-12-12 10:44","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:51.7820438"
"j***l",,"star5","很漂亮 外观很喜欢 但是刚买又降价了 ～～ 之前也买过同款 去年新出就买了但是被妈妈要走了 有另外买一台","2018-12-12 10:08","0","0",,,"https://item.jd.com/5225346.html#comment","【AppleMQD32CH/A】Apple MacBook Air 13.3英寸笔记本电脑 银色(2017款Core i5 处理器/8GB内存/128GB闪存 MQD32CH/A)【行情 报价 价格 评测】-京东","2018-12-27 12:46:51.8090340"
